Block,Row,Sward_type,Management,Year,DMY
A,A,BPW,B3,2019,11911.7179080998
A,A,C,B4,2019,11253.2033554111
A,B,BPW,B1,2019,8422.65359139827
A,B,BFW,B1,2019,6671.52094144259
A,C,BPW,B4,2019,11970.7740507054
A,C,C,B1,2019,4623.37961063875
A,D,C,B2,2019,6582.63548123509
A,D,BPW,B2,2019,9897.33927371124
A,E,C,B3,2019,7787.56801556366
A,E,BFW,B4,2019,12258.6451416117
A,F,BFW,B3,2019,9402.18363570269
A,F,BFW,B2,2019,7417.81173452905
B,A,BPW,B3,2019,12880.2443508327
B,A,BPW,B2,2019,8738.3929592314
B,B,BFW,B2,2019,6638.03435026431
B,B,BPW,B1,2019,8234.63259700099
B,C,BFW,B1,2019,6648.60887605267
B,C,BFW,B4,2019,10837.905338381
B,D,BPW,B4,2019,14735.4380995489
B,D,C,B3,2019,10113.8203569638
B,E,C,B1,2019,7002.31060067751
B,E,C,B4,2019,11832.258073429
B,F,BFW,B3,2019,9639.05037626539
B,F,C,B2,2019,9002.45688927766
C,A,BFW,B4,2019,9601.41458216942
C,A,BPW,B2,2019,9525.52261371042
C,B,C,B1,2019,5039.46321808863
C,B,BPW,B1,2019,5603.38828517901
C,C,BPW,B4,2019,12159.440530405504
C,C,BFW,B3,2019,9280.3421519877
C,D,C,B4,2019,11928.2859285379
C,D,C,B3,2019,10126.781109634
C,E,BPW,B3,2019,13780.3421113632
C,E,BFW,B1,2019,8849.22313232082
C,F,BFW,B2,2019,10735.2768912547
C,F,C,B2,2019,10214.4389185365
D,A,BFW,B1,2019,9713.88826214641
D,A,C,B3,2019,8259.61677820815
D,B,BPW,B3,2019,12478.8498947249
D,B,C,B4,2019,10251.3739898741
D,C,BFW,B2,2019,8929.99955198853
D,C,BPW,B1,2019,9519.69519317424
D,D,C,B2,2019,7847.66031192453
D,D,BPW,B4,2019,16358.8714611859
D,E,C,B1,2019,6284.61900294269
D,E,BFW,B3,2019,9999.1211963257
D,F,BPW,B2,2019,10407.0654331993
D,F,BFW,B4,2019,9738.34044025187
A,A,BPW,B3,2020,12691.8324263709
A,A,C,B4,2020,14422.1753492564
A,B,BPW,B1,2020,11522.1934928194
A,B,BFW,B1,2020,11726.8378743961
A,C,BPW,B4,2020,16373.7362779406
A,C,C,B1,2020,9562.39946084245
A,D,C,B2,2020,9948.92913785163
A,D,BPW,B2,2020,12943.9382242327
A,E,C,B3,2020,11754.2299587375
A,E,BFW,B4,2020,14605.5216223916
A,F,BFW,B3,2020,10992.1067717029
A,F,BFW,B2,2020,11634.2629537117
B,A,BPW,B3,2020,13021.0746321537
B,A,BPW,B2,2020,14307.2785566119
B,B,BFW,B2,2020,12115.4572882387
B,B,BPW,B1,2020,12749.5964201237
B,C,BFW,B1,2020,12576.634720626
B,C,BFW,B4,2020,14408.7881226468
B,D,BPW,B4,2020,18310.9858044171
B,D,C,B3,2020,10453.7480767076
B,E,C,B1,2020,9055.30482293143
B,E,C,B4,2020,16352.7242841152
B,F,BFW,B3,2020,10862.414288723
B,F,C,B2,2020,11870.6247860889
C,A,BFW,B4,2020,13469.1800488234
C,A,BPW,B2,2020,14577.383314552
C,B,C,B1,2020,7302.94862540263
C,B,BPW,B1,2020,11269.8190728818
C,C,BPW,B4,2020,15768.9656657896
C,C,BFW,B3,2020,12943.569372008
C,D,C,B4,2020,13161.703504236
C,D,C,B3,2020,9815.99278840506
C,E,BPW,B3,2020,13927.9804095028
C,E,BFW,B1,2020,10176.445095893
C,F,BFW,B2,2020,12148.0851768265
C,F,C,B2,2020,10896.5057435721
D,A,BFW,B1,2020,11673.6256435207
D,A,C,B3,2020,9518.63214657119
D,B,BPW,B3,2020,11976.5451206389
D,B,C,B4,2020,12918.4403962514
D,C,BFW,B2,2020,11554.7659572236
D,C,BPW,B1,2020,11488.7289797402
D,D,C,B2,2020,10177.3024021915
D,D,BPW,B4,2020,16398.3503781704
D,E,C,B1,2020,7579.18209910518
D,E,BFW,B3,2020,10450.2013549652
D,F,BPW,B2,2020,12533.3527983703
D,F,BFW,B4,2020,13751.5315708836
A,A,BPW,B3,2021,14739.7066666667
A,A,C,B4,2021,16051.86
A,B,BPW,B1,2021,14270.4666666667
A,B,BFW,B1,2021,12883.82
A,C,BPW,B4,2021,15919.7066666667
A,C,C,B1,2021,11932.2333333333
A,D,C,B2,2021,11205.3266666667
A,D,BPW,B2,2021,15822.12
A,E,C,B3,2021,12223.6466666667
A,E,BFW,B4,2021,13041.8333333333
A,F,BFW,B3,2021,12960.58
A,F,BFW,B2,2021,9454.91333333333
B,A,BPW,B3,2021,12627.38
B,A,BPW,B2,2021,15172.3333333333
B,B,BFW,B2,2021,12947.8133333333
B,B,BPW,B1,2021,12859.9964977531
B,C,BFW,B1,2021,11615.0066666667
B,C,BFW,B4,2021,15683.76
B,D,BPW,B4,2021,18802.9333333333
B,D,C,B3,2021,13430.2533333333
B,E,C,B1,2021,7624.55333333333
B,E,C,B4,2021,14329.64
B,F,BFW,B3,2021,12461.8266666667
B,F,C,B2,2021,8710.33333333333
C,A,BFW,B4,2021,14989.6866666667
C,A,BPW,B2,2021,16471.5666666667
C,B,C,B1,2021,9983.22666666667
C,B,BPW,B1,2021,14680.1333333333
C,C,BPW,B4,2021,19380.38
C,C,BFW,B3,2021,15201.4666666667
C,D,C,B4,2021,16559.3
C,D,C,B3,2021,11964.6466666667
C,E,BPW,B3,2021,17456.24
C,E,BFW,B1,2021,8998.77333333333
C,F,BFW,B2,2021,11146.16
C,F,C,B2,2021,9585.84
D,A,BFW,B1,2021,13963.2133333333
D,A,C,B3,2021,12793.7066666667
D,B,BPW,B3,2021,15148.08
D,B,C,B4,2021,14718.4533333333
D,C,BFW,B2,2021,13459.1866666667
D,C,BPW,B1,2021,12504.0133333333
D,D,C,B2,2021,10731.7933333333
D,D,BPW,B4,2021,17168.3066666667
D,E,C,B1,2021,9424.26666666667
D,E,BFW,B3,2021,11917.0466666667
D,F,BPW,B2,2021,11875.0533333333
D,F,BFW,B4,2021,14332.74
A,A,BPW,B3,2022,10117.1534187826
A,A,C,B4,2022,13568.5466666667
A,B,BPW,B1,2022,8297.35333333333
A,B,BFW,B1,2022,7370.4
A,C,BPW,B4,2022,13624.8932739258
A,C,C,B1,2022,6810.94
A,D,C,B2,2022,8402.25333333333
A,D,BPW,B2,2022,12463.4
A,E,C,B3,2022,7979.94662679037
A,E,BFW,B4,2022,11143.7066910807
A,F,BFW,B3,2022,7193.69999104818
A,F,BFW,B2,2022,8230.0
B,A,BPW,B3,2022,9671.85325276693
B,A,BPW,B2,2022,13550.1133333333
B,B,BFW,B2,2022,12405.32
B,B,BPW,B1,2022,9471.38666666667
B,C,BFW,B1,2022,10997.3666666667
B,C,BFW,B4,2022,13786.1935709635
B,D,BPW,B4,2022,14073.4998779297
B,D,C,B3,2022,8481.23997843425
B,E,C,B1,2022,6572.44666666667
B,E,C,B4,2022,13579.7201306152
B,F,BFW,B3,2022,7634.0133589681
B,F,C,B2,2022,8472.56
C,A,BFW,B4,2022,13691.7534151204
C,A,BPW,B2,2022,14571.76
C,B,C,B1,2022,6640.24666666667
C,B,BPW,B1,2022,7866.51333333333
C,C,BPW,B4,2022,13380.5599707031
C,C,BFW,B3,2022,9140.04666666667
C,D,C,B4,2022,12405.8533959961
C,D,C,B3,2022,7798.97337972005
C,E,BPW,B3,2022,9142.30666666667
C,E,BFW,B1,2022,7630.30666666667
C,F,BFW,B2,2022,9674.68
C,F,C,B2,2022,10096.76
D,A,BFW,B1,2022,8044.05333333333
D,A,C,B3,2022,6905.58658854167
D,B,BPW,B3,2022,10004.1133068848
D,B,C,B4,2022,12319.6798811849
D,C,BFW,B2,2022,9910.98666666667
D,C,BPW,B1,2022,7066.64
D,D,C,B2,2022,8631.59333333333
D,D,BPW,B4,2022,13444.2266666667
D,E,C,B1,2022,6493.59333333333
D,E,BFW,B3,2022,7722.87333333333
D,F,BPW,B2,2022,7937.05333333333
D,F,BFW,B4,2022,9654.51336507161
A,A,BPW,B3,2023,11171.2666829427
A,A,C,B4,2023,11215.133412679
A,B,BPW,B1,2023,10413.9266682943
A,B,BFW,B1,2023,9817.14658813477
A,C,BPW,B4,2023,13550.2130615234
A,C,C,B1,2023,7444.91998392741
A,D,C,B2,2023,8384.21331278483
A,D,BPW,B2,2023,12789.2398030599
A,E,C,B3,2023,7011.81343282064
A,E,BFW,B4,2023,11749.5066375732
A,F,BFW,B3,2023,9800.67319335938
A,F,BFW,B2,2023,7065.15338745117
B,A,BPW,B3,2023,11724.6799794515
B,A,BPW,B2,2023,10324.5733047485
B,B,BFW,B2,2023,9413.38671264648
B,B,BPW,B1,2023,10160.326663208
B,C,BFW,B1,2023,9833.35998942057
B,C,BFW,B4,2023,11968.9598531087
B,D,BPW,B4,2023,14141.7997751872
B,D,C,B3,2023,8118.14668782552
B,E,C,B1,2023,6485.00661417643
B,E,C,B4,2023,13291.0998840332
B,F,BFW,B3,2023,8317.19327189128
B,F,C,B2,2023,6449.77335510254
C,A,BFW,B4,2023,12374.6865783691
C,A,BPW,B2,2023,11065.893363444
C,B,C,B1,2023,7374.97336527506
C,B,BPW,B1,2023,9345.2932993571
C,C,BPW,B4,2023,13049.6534179688
C,C,BFW,B3,2023,8306.14671020508
C,D,C,B4,2023,10046.9265848796
C,D,C,B3,2023,7189.42007649739
C,E,BPW,B3,2023,11620.8199645996
C,E,BFW,B1,2023,8694.77333170573
C,F,BFW,B2,2023,8369.08000386556
C,F,C,B2,2023,9483.3598642985
D,A,BFW,B1,2023,9590.72670084635
D,A,C,B3,2023,7877.74668884277
D,B,BPW,B3,2023,12448.4798177083
D,B,C,B4,2023,9529.52672017415
D,C,BFW,B2,2023,10630.8864023844
D,C,BPW,B1,2023,9961.3332611084
D,D,C,B2,2023,9109.9666809082
D,D,BPW,B4,2023,14066.1862772624
D,E,C,B1,2023,8213.65336710612
D,E,BFW,B3,2023,8312.65319824219
D,F,BPW,B2,2023,10017.0199412028
D,F,BFW,B4,2023,11356.4467834473
